日付け,終値,始値,高値,安値,出来高,前日比%
2020年6月6日,"697,003","1,055,001","1,066,674","1,045,000",3.02K,0.56%
2020年6月5日,"695,424","1,068,556","1,076,510","1,050,883",5.74K,-1.27%
2020年6月4日,"720,796","1,054,000","1,076,999","1,031,001",6.14K,1.38%
2020年6月3日,"726,734","1,036,500","1,055,392","1,021,500",4.32K,1.68%
2020年6月2日,"725,895","1,096,014","1,104,000","1,014,510",9.45K,-5.49%
2020年6月1日,"718,094","1,017,708","1,105,199","1,014,541",6.85K,7.75%
2020年5月31日,"718,992","1,044,454","1,044,888","1,012,000",4.03K,-2.54%
2020年5月30日,"720,741","1,016,000","1,047,454","1,007,500",4.19K,2.80%
2020年5月29日,"721,676","1,031,382","1,034,045","1,002,501",4.27K,-1.49%
2020年5月28日,"722,260","992,287","1,035,600","982,500",6.15K,3.94%
2020年5月27日,"717,528","951,651","993,545","948,730",5.89K,4.27%
2020年5月26日,"718,583","960,276","972,587","935,926",5.12K,-0.90%
2020年5月25日,"717,445","941,326","968,184","933,582",6.14K,2.01%
2020年5月24日,"716,625","988,442","1,002,680","941,192",5.39K,-4.77%
2020年5月23日,"716,700","988,518","1,004,725","980,000",3.29K,-0.01%
2020年5月22日,"717,000","977,238","997,390","960,500",5.86K,1.15%
2020年5月21日,"703,190","1,025,000","1,031,216","950,000",8.98K,-4.66%
2020年5月20日,"707,883","1,053,361","1,059,150","1,003,897",6.64K,-2.69%
2020年5月19日,"711,545","1,044,362","1,064,050","1,018,632",8.96K,0.86%
2020年5月18日,"713,733","1,037,658","1,065,000","1,020,000",8.37K,0.65%
2020年5月17日,"717,612","1,005,016","1,057,274","999,530",6.81K,3.25%
2020年5月16日,"716,487","996,901","1,027,258","987,521",5.47K,0.81%
2020年5月15日,"725,398","1,051,000","1,056,043","980,622",10.54K,-5.15%
2020年5月14日,"724,217","997,533","1,062,990","992,000",11.98K,5.36%
2020年5月13日,"729,558","945,875","1,007,760","944,000",8.95K,5.46%
2020年5月12日,"736,824","922,489","963,600","920,000",8.28K,2.54%
2020年5月11日,"727,800","934,350","986,044","885,038",18.86K,-1.27%
2020年5月10日,"720,000","1,017,000","1,019,999","876,380",15.91K,-8.13%
2020年5月9日,"721,247","1,048,000","1,058,170","1,015,260",6.59K,-2.96%
2020年5月8日,"722,837","1,065,810","1,069,746","1,035,050",7.71K,-1.67%
2020年5月7日,"719,645","974,518","1,071,990","962,478",12.93K,9.48%
2020年5月6日,"713,419","962,100","997,500","950,473",9.37K,1.18%
2020年5月5日,"649,343","949,894","972,550","940,330",6.53K,1.28%
2020年5月4日,"635,263","952,856","959,668","913,025",7.82K,-0.31%
2020年5月3日,"623,042","962,121","983,500","936,979",8.76K,-0.96%
2020年5月2日,"623,247","946,265","966,285","940,080",5.14K,1.68%
2020年5月1日,"628,964","926,749","971,950","925,418",9.25K,2.10%
2020年4月30日,"535,867","937,577","1,008,888","900,925",20.05K,-1.15%
2020年4月29日,"493,334","829,395","959,174","825,298",15.07K,13.04%
2020年4月28日,"513,389","836,500","837,293","824,000",4.94K,-0.84%
2020年4月27日,"483,488","828,940","840,000","821,172",7.26K,0.96%
2020年4月26日,"485,403","813,011","830,000","810,011",4.06K,1.89%
