日付け,終値,始値,高値,安値,出来高,前日比%
2019年8月27日,"1,056,426","1,097,674","1,099,835","1,062,390",3.13K,-1.98%
2019年8月26日,"1,073,176","1,065,549","1,120,125","1,064,748",6.66K,3.33%
2019年8月25日,"1,070,599","1,069,511","1,091,000","1,047,191",4.04K,-0.67%
2019年8月24日,"1,031,500","1,097,352","1,099,821","1,047,160",3.50K,-2.54%
2019年8月23日,"1,036,120","1,076,343","1,110,000","1,068,500",4.07K,1.95%
2019年8月22日,"1,035,395","1,080,771","1,089,266","1,040,000",5.41K,-0.41%
2019年8月21日,"1,041,900","1,143,495","1,147,035","1,052,060",5.69K,-5.39%
2019年8月20日,"1,099,269","1,164,274","1,167,899","1,122,240",3.80K,-1.88%
2019年8月19日,"1,118,400","1,098,880","1,165,696","1,092,657",4.95K,5.95%
2019年8月18日,"1,123,000","1,088,953","1,117,043","1,072,500",3.00K,0.91%
2019年8月17日,"1,153,754","1,100,020","1,113,800","1,064,670",3.82K,-1.01%
2019年8月16日,"1,170,258","1,095,055","1,120,998","1,034,652",8.54K,0.45%
2019年8月15日,"1,246,972","1,063,000","1,109,510","1,005,000",10.11K,3.02%
2019年8月14日,"1,220,262","1,158,871","1,159,359","1,051,000",7.27K,-8.27%
2019年8月13日,"1,269,227","1,201,588","1,206,190","1,144,120",3.94K,-3.38%
2019年8月12日,"1,267,904","1,217,705","1,219,000","1,183,564",2.47K,-1.50%
2019年8月11日,"1,253,947","1,193,155","1,221,384","1,178,000",3.42K,2.08%
2019年8月10日,"1,192,882","1,254,905","1,263,472","1,186,849",4.72K,-4.87%
2019年8月9日,"1,217,696","1,267,904","1,273,214","1,230,122",4.77K,-1.10%
2019年8月8日,"1,199,458","1,269,227","1,273,985","1,218,000",6.64K,-0.10%
2019年8月7日,"1,158,871","1,220,016","1,284,000","1,210,000",8.80K,4.01%
2019年8月6日,"1,063,000","1,246,972","1,306,050","1,190,390",9.33K,-2.14%
2019年8月5日,"1,095,055","1,170,875","1,265,437","1,170,259",9.88K,6.56%
2019年8月4日,"1,100,020","1,153,754","1,181,588","1,126,628",4.96K,1.43%
2019年8月3日,"1,088,953","1,123,000","1,160,808","1,120,888",4.66K,2.74%
2019年8月2日,"1,098,880","1,118,400","1,139,709","1,105,945",5.05K,0.41%
2019年8月1日,"1,164,274","1,099,269","1,125,579","1,078,757",4.63K,1.74%
2019年7月31日,"1,142,357","1,041,900","1,100,000","1,039,500",5.50K,5.51%
2019年7月30日,"1,080,771","1,035,395","1,058,330","1,021,811",3.97K,0.63%
2019年7月29日,"1,076,343","1,038,438","1,055,555","1,020,000",3.98K,-0.07%
2019年7月28日,"1,097,352","1,030,710","1,050,000","995,127",3.73K,0.45%
2019年7月27日,"1,069,511","1,069,964","1,108,827","1,015,692",5.08K,-3.65%
2019年7月26日,"1,062,294","1,073,650","1,076,050","1,050,000",3.05K,-0.24%
2019年7月25日,"1,097,674","1,056,426","1,103,751","1,053,853",4.55K,1.59%
2019年7月24日,"1,075,910","1,067,004","1,072,890","1,029,999",5.25K,-1.04%
2019年7月23日,"1,032,192","1,114,925","1,115,690","1,063,001",5.28K,-4.25%
2019年7月22日,"1,011,000","1,142,766","1,154,250","1,087,026",6.04K,-2.44%
2019年7月21日,"1,018,178","1,160,989","1,169,200","1,114,555",5.81K,-1.49%
2019年7月20日,"1,020,001","1,134,597","1,195,058","1,120,001",9.01K,2.24%
2019年7月19日,"1,036,267","1,144,998","1,160,000","1,092,945",10.98K,-0.91%
2019年7月18日,"1,102,000","1,045,283","1,159,341","1,005,100",13.55K,9.54%
2019年7月17日,"1,123,856","1,021,334","1,078,220","981,000",16.53K,2.34%
2019年7月16日,"1,124,541","1,177,393","1,196,290","1,015,501",14.90K,-13.25%
2019年7月15日,"1,131,641","1,103,883","1,198,140","1,072,000",12.64K,6.66%
2019年7月14日,"1,103,530","1,233,028","1,242,572","1,093,140",10.86K,-10.60%
2019年7月13日,"1,121,490","1,278,534","1,282,500","1,180,000",7.28K,-3.42%
2019年7月12日,"1,112,171","1,237,053","1,289,996","1,204,499",8.85K,3.36%
2019年7月11日,"1,106,945","1,313,605","1,313,605","1,201,341",14.77K,-5.83%
2019年7月10日,"1,086,657","1,368,888","1,430,000","1,255,046",16.06K,-4.12%
2019年7月9日,"1,095,555","1,335,844","1,390,000","1,315,899",10.84K,2.56%
2019年7月8日,"1,126,914","1,246,467","1,347,921","1,230,000",8.22K,7.17%
2019年7月7日,"1,119,558","1,223,944","1,259,820","1,208,493",5.59K,1.84%
2019年7月6日,"1,118,737","1,197,650","1,269,999","1,196,908",7.29K,2.12%
2019年7月5日,"1,111,526","1,206,000","1,244,110","1,170,689",9.91K,-0.62%
2019年7月4日,"1,108,663","1,291,931","1,298,542","1,195,000",10.21K,-6.65%
2019年7月3日,"1,101,600","1,174,473","1,295,206","1,173,244",16.69K,10.09%
2019年7月2日,"1,100,344","1,156,305","1,181,640","1,050,000",16.52K,1.49%
2019年7月1日,"1,108,999","1,172,850","1,220,000","1,090,107",15.26K,-1.41%
2019年6月30日,"1,093,999","1,290,768","1,322,000","1,164,650",10.74K,-9.14%
2019年6月29日,"1,074,107","1,342,710","1,344,000","1,241,052",11.79K,-3.87%
2019年6月28日,"1,081,500","1,221,271","1,347,776","1,170,579",17.20K,9.94%
2019年6月27日,"1,043,745","1,399,265","1,437,550","1,118,000",25.78K,-12.72%
2019年6月26日,"918,451","1,262,333","1,495,427","1,252,500",24.34K,10.85%
2019年6月25日,"910,557","1,180,798","1,264,000","1,180,582",11.21K,6.91%
2019年6月24日,"869,605","1,163,067","1,187,227","1,131,280",7.02K,1.48%
2019年6月23日,"886,900","1,145,500","1,199,432","1,127,222",7.91K,1.57%
2019年6月22日,"887,254","1,095,000","1,199,999","1,083,000",15.98K,4.61%
2019年6月21日,"869,799","1,023,420","1,097,290","1,023,420",8.20K,6.99%
2019年6月20日,"897,247","1,002,171","1,030,000","994,443",4.99K,2.14%
2019年6月19日,"896,699","986,025","1,005,000","982,000",3.59K,1.62%
2019年6月18日,"899,088","1,013,696","1,015,370","970,500",6.03K,-2.73%
2019年6月17日,"881,977","977,299","1,025,500","976,280",8.13K,3.72%
2019年6月16日,"873,171","959,400","1,018,297","953,001",11.24K,1.86%
2019年6月15日,"872,594","944,847","962,000","935,265",4.81K,1.55%
2019年6月14日,"841,354","893,750","946,711","888,022",5.65K,5.72%
2019年6月13日,"879,300","886,889","905,000","875,000",4.03K,0.77%
2019年6月12日,"874,804","860,725","897,000","851,679",5.53K,3.04%
2019年6月11日,"919,414","870,015","873,713","840,000",4.43K,-1.07%
2019年6月10日,"926,444","833,500","877,099","819,776",6.71K,4.37%
2019年6月9日,"898,149","860,954","864,500","821,194",4.71K,-3.18%
2019年6月8日,"901,833","867,670","873,200","845,500",3.15K,-0.77%
2019年6月7日,"899,998","846,482","881,196","840,260",5.60K,2.56%
2019年6月6日,"905,500","844,971","853,300","810,055",5.54K,0.12%
2019年6月5日,"887,464","831,423","857,689","821,574",8.64K,1.63%
2019年6月4日,"869,340","878,998","880,234","807,269",12.76K,-5.44%
2019年6月3日,"877,000","946,500","947,472","875,000",6.92K,-7.11%
2019年6月2日,"862,890","925,022","954,515","924,021",4.51K,2.32%
2019年6月1日,"863,000","928,000","932,475","916,000",3.52K,-0.34%
2019年5月31日,"891,400","907,386","931,359","889,906",7.48K,2.29%
2019年5月30日,"891,947","948,273","990,246","880,878",10.63K,-4.31%
2019年5月29日,"870,050","952,867","955,736","923,389",5.40K,-0.48%
2019年5月28日,"812,309","960,100","964,500","938,500",4.67K,-0.75%
2019年5月27日,"807,310","953,474","975,000","946,002",8.05K,0.69%
2019年5月26日,"940,000","883,875","954,250","867,000",7.53K,7.87%
2019年5月25日,"1,002,159","874,415","888,888","870,100",3.41K,1.08%
2019年5月24日,"1,037,500","863,494","892,825","856,000",6.14K,1.26%
2019年5月23日,"1,003,920","844,000","874,517","826,000",6.27K,2.31%
2019年5月22日,"1,025,514","879,495","885,900","833,000",6.29K,-4.06%
2019年5月21日,"997,247","878,650","894,338","864,950",5.95K,0.12%
2019年5月20日,"988,920","899,120","900,135","835,500",10.12K,-2.35%
2019年5月19日,"999,769","801,006","909,850","800,655",11.75K,12.33%
2019年5月18日,"1,006,460","813,262","822,076","796,770",5.18K,-1.24%
2019年5月17日,"996,034","867,106","872,500","737,859",13.68K,-6.47%
2019年5月16日,"1,021,915","897,002","916,900","850,000",10.64K,-3.33%
2019年5月15日,"1,015,450","877,000","906,002","863,005",11.16K,2.28%
2019年5月14日,"1,015,935","854,062","915,000","837,450",16.16K,2.51%
2019年5月13日,"1,006,170","766,000","890,131","755,210",16.50K,11.65%
2019年5月12日,"957,397","797,450","838,429","742,991",17.38K,-3.97%
2019年5月11日,"962,771","698,820","880,000","698,816",13.56K,14.19%
2019年5月10日,"986,500","674,662","705,195","671,306",7.48K,3.58%
2019年5月9日,"950,719","653,899","677,195","652,776",5.54K,3.18%
2019年5月8日,"960,000","636,280","657,800","630,000",4.94K,2.98%
2019年5月7日,"953,321","629,700","659,550","629,465",7.33K,0.84%
2019年5月6日,"936,240","632,873","636,781","616,000",4.21K,-0.50%
2019年5月5日,"921,483","640,290","640,455","625,701",3.09K,-1.17%
2019年5月4日,"923,400","628,128","644,960","613,001",5.09K,2.01%
2019年5月3日,"925,304","601,458","644,899","599,300",7.20K,4.37%
2019年5月2日,"888,914","593,000","604,659","591,364",2.77K,1.43%
2019年5月1日,"880,856","587,393","595,050","587,013",2.95K,0.95%
2019年4月30日,"876,921","577,863","589,668","575,345",2.82K,1.65%
2019年4月29日,"827,661","579,000","583,299","573,000",2.74K,-0.20%
2019年4月28日,"791,420","579,990","585,500","575,000",2.19K,-0.17%
2019年4月27日,"796,490","579,700","584,299","573,755",2.38K,0.05%
2019年4月26日,"752,676","579,000","596,000","567,910",7.17K,0.12%
2019年4月25日,"776,240","611,479","616,448","560,010",7.07K,-5.31%
2019年4月24日,"781,873","619,737","629,350","604,666",5.45K,-1.33%
2019年4月23日,"822,380","603,102","631,880","600,299",5.48K,2.76%
2019年4月22日,"814,000","594,101","605,900","590,000",4.17K,1.52%
2019年4月21日,"849,890","595,646","598,232","585,592",2.56K,-0.26%
2019年4月20日,"827,393","591,437","599,991","589,390",2.35K,0.72%
2019年4月19日,"811,428","591,395","597,500","582,885",3.24K,0.00%
2019年4月18日,"796,925","584,418","594,498","584,099",3.27K,1.19%
2019年4月17日,"792,786","581,653","589,729","579,450",3.59K,0.42%
2019年4月16日,"784,410","563,500","586,000","561,995",4.88K,3.25%
2019年4月15日,"803,858","577,750","580,000","555,350",3.84K,-2.39%
2019年4月14日,"818,480","568,149","580,150","563,268",1.88K,1.65%
2019年4月13日,"814,301","569,500","574,000","564,940",1.48K,-0.24%
2019年4月12日,"816,707","564,000","572,696","548,035",5.09K,0.98%
2019年4月11日,"797,959","591,143","593,943","555,492",6.50K,-4.59%
2019年4月10日,"785,869","576,703","608,702","574,000",7.20K,2.46%
2019年4月9日,"782,164","588,520","589,040","573,000",5.04K,-1.97%
2019年4月8日,"786,190","579,725","595,950","572,500",8.09K,1.52%
2019年4月7日,"792,353","563,489","587,330","562,001",5.35K,2.88%
2019年4月6日,"773,304","562,532","584,250","548,690",4.85K,0.17%
2019年4月5日,"777,016","548,000","565,040","546,008",4.51K,2.65%
2019年4月4日,"754,693","555,300","566,499","534,204",8.10K,-1.31%
2019年4月3日,"724,800","545,469","596,490","538,315",16.91K,1.80%
2019年4月2日,"798,000","460,500","570,012","459,980",14.73K,18.45%
2019年4月1日,"779,042","453,417","461,498","450,000",3.55K,1.56%
2019年3月31日,"786,600","453,000","454,599","451,284",1.13K,0.09%
2019年3月30日,"781,592","452,501","458,000","447,690",1.71K,0.11%
2019年3月29日,"821,550","443,222","453,623","443,000",3.30K,2.09%
2019年3月28日,"800,320","444,477","444,477","440,000",1.82K,-0.28%
2019年3月27日,"793,410","433,151","444,995","432,086",3.03K,2.61%
2019年3月26日,"787,145","429,928","433,449","428,610",2.48K,0.75%
2019年3月25日,"788,330","436,971","438,183","426,000",3.25K,-1.61%
2019年3月24日,"792,233","438,303","438,500","434,000",1.34K,-0.35%
2019年3月23日,"799,490","438,504","440,314","435,778",1.47K,0.00%
2019年3月22日,"807,988","440,825","441,633","437,500",2.16K,-0.53%
2019年3月21日,"787,115","445,814","447,000","435,981",3.10K,-1.12%
2019年3月20日,"779,450","445,064","447,465","442,000",2.89K,0.17%
2019年3月19日,"780,490","442,176","446,000","438,762",2.54K,0.65%
2019年3月18日,"754,800","441,450","446,800","438,530",3.15K,0.16%
2019年3月17日,"792,650","443,635","443,988","438,200",1.62K,-0.49%
2019年3月16日,"794,060","434,178","448,820","434,027",3.60K,2.18%
2019年3月15日,"793,632","430,167","435,042","429,509",2.52K,0.93%
2019年3月14日,"841,539","428,300","434,389","423,000",3.07K,0.44%
2019年3月13日,"883,413","429,580","430,861","426,000",2.46K,-0.30%
2019年3月12日,"877,290","428,795","431,300","423,560",2.67K,0.18%
2019年3月11日,"854,944","433,206","434,144","425,600",4.30K,-1.02%
2019年3月10日,"895,000","435,287","435,287","430,000",1.79K,-0.48%
2019年3月9日,"875,808","427,484","437,980","426,700",2.73K,1.83%
2019年3月8日,"892,350","430,100","433,560","420,427",3.36K,-0.61%
2019年3月7日,"887,538","429,848","434,300","427,891",3.40K,0.06%
2019年3月6日,"965,570","429,450","434,460","425,103",3.17K,0.09%
2019年3月5日,"964,324","413,871","432,525","413,203",4.44K,3.76%
2019年3月4日,"958,730","423,661","425,800","410,625",4.12K,-2.31%
2019年3月3日,"980,172","426,039","427,000","421,500",1.70K,-0.56%
2019年3月2日,"981,000","425,943","427,267","421,000",1.48K,0.02%
2019年3月1日,"957,977","422,865","429,894","422,615",3.07K,0.73%
2019年2月28日,"950,811","421,267","432,250","418,110",6.54K,0.38%
2019年2月27日,"957,629","419,629","423,460","408,087",4.87K,0.39%
2019年2月26日,"950,633","423,575","424,316","416,000",4.00K,-0.93%
2019年2月25日,"918,822","413,712","428,824","412,991",5.63K,2.38%
2019年2月24日,"921,808","453,900","462,596","405,195",9.07K,-8.85%
2019年2月23日,"911,012","435,789","459,000","432,074",3.96K,4.16%
2019年2月22日,"935,530","432,185","437,111","430,501",3.70K,0.83%
2019年2月21日,"969,060","435,816","440,500","428,530",4.43K,-0.83%
2019年2月20日,"1,022,498","429,902","437,500","427,187",3.78K,1.36%
2019年2月19日,"1,011,955","427,531","439,260","424,211",6.98K,0.57%
2019年2月18日,"1,031,610","400,000","433,000","399,000",8.91K,6.88%
2019年2月17日,"1,013,000","395,229","402,060","392,900",3.36K,1.21%
2019年2月16日,"1,015,630","393,923","397,985","393,701",1.53K,0.33%
2019年2月15日,"1,010,417","392,999","398,000","391,250",3.87K,0.24%
2019年2月14日,"1,008,555","395,099","397,100","392,701",3.54K,-0.53%
2019年2月13日,"1,003,300","395,085","398,333","393,109",3.91K,0.00%
2019年2月12日,"1,053,671","394,999","397,895","390,899",4.01K,0.07%
2019年2月11日,"1,070,900","398,468","399,000","392,860",2.97K,-0.92%
2019年2月10日,"1,076,391","395,754","398,930","391,000",2.15K,0.69%
2019年2月9日,"1,086,240","396,319","397,733","392,297",2.55K,-0.14%
2019年2月8日,"1,110,975","368,506","405,999","366,500",7.35K,7.55%
2019年2月7日,"1,081,510","369,749","371,000","367,800",2.64K,-0.34%
2019年2月6日,"1,123,524","376,402","377,771","366,510",3.57K,-1.77%
2019年2月5日,"1,136,950","374,521","377,310","373,050",2.04K,0.50%
2019年2月4日,"1,124,591","373,695","376,713","372,340",2.15K,0.22%
2019年2月3日,"1,137,555","378,887","379,616","370,650",1.95K,-1.37%
2019年2月2日,"1,087,798","375,637","381,000","372,510",2.22K,0.87%
2019年2月1日,"1,091,898","370,400","377,519","367,090",3.76K,1.41%
2019年1月31日,"1,066,553","373,707","376,204","367,390",5.50K,-0.88%
2019年1月30日,"1,118,700","371,160","378,000","365,940",5.66K,0.69%
2019年1月29日,"1,068,393","374,884","375,899","365,160",6.24K,-0.99%
2019年1月28日,"1,076,399","386,442","386,775","369,011",7.84K,-2.99%
2019年1月27日,"1,082,615","389,483","390,000","380,920",2.74K,-0.78%
2019年1月26日,"1,078,573","390,359","396,210","387,600",3.11K,-0.13%
2019年1月25日,"1,111,020","391,350","392,796","383,641",4.51K,-0.35%
2019年1月24日,"1,071,701","389,000","393,413","386,487",4.07K,0.60%
2019年1月23日,"1,027,477","391,000","396,999","385,500",4.94K,-0.53%
2019年1月22日,"969,750","387,778","393,570","376,600",5.59K,0.85%
2019年1月21日,"965,988","388,607","390,836","383,690",3.24K,-0.21%
2019年1月20日,"941,169","404,771","407,000","384,633",3.68K,-4.11%
2019年1月19日,"923,474","396,762","412,000","396,289",2.99K,2.14%
2019年1月18日,"921,118","397,252","398,413","393,005",3.12K,-0.12%
2019年1月17日,"968,732","394,024","399,310","387,500",4.73K,0.82%
2019年1月16日,"938,769","389,848","398,391","385,350",4.22K,1.01%
2019年1月15日,"944,324","397,000","399,733","386,501",4.74K,-1.74%
2019年1月14日,"963,345","382,314","402,580","381,500",4.59K,3.96%
2019年1月13日,"966,010","393,916","396,500","380,000",3.19K,-3.06%
2019年1月12日,"940,979","395,300","397,460","390,900",2.13K,-0.35%
2019年1月11日,"837,969","393,876","401,430","390,000",6.20K,0.36%
2019年1月10日,"820,200","433,332","435,399","389,358",9.92K,-9.11%
2019年1月9日,"830,836","434,938","439,640","431,650",5.46K,-0.37%
2019年1月8日,"832,286","434,499","445,687","429,490",6.28K,0.10%
2019年1月7日,"518,523","438,294","440,866","429,230",6.19K,-0.87%
2019年1月6日,"616,477","412,408","442,300","410,001",6.02K,6.28%
2019年1月5日,"565,780","414,129","419,000","410,355",3.71K,-0.53%
2019年1月4日,"582,228","408,800","418,000","405,000",6.55K,1.42%
2019年1月3日,"547,089","417,760","419,494","406,885",4.34K,-2.14%
2019年1月2日,"579,625","419,300","424,999","410,860",7.18K,-0.37%
2019年1月1日,"588,404","406,545","420,480","401,170",3.68K,3.02%
2018年12月31日,"692,529","423,500","424,200","402,000",6.65K,-3.88%
2018年12月30日,"690,420","413,249","426,000","408,806",7.11K,2.46%
2018年12月29日,"688,958","429,345","434,000","408,947",5.58K,-3.75%
2018年12月28日,"647,420","399,400","433,523","396,498",9.22K,7.50%
2018年12月27日,"719,500","424,047","426,000","396,825",9.17K,-5.81%
2018年12月26日,"752,500","417,999","428,129","408,000",10.27K,1.45%
2018年12月25日,"741,720","445,238","446,064","405,021",16.14K,-6.12%
2018年12月24日,"737,681","438,405","469,796","438,300",12.79K,1.56%
2018年12月23日,"690,539","442,925","450,506","434,000",9.34K,-1.01%
2018年12月22日,"677,000","427,515","445,905","421,661",7.07K,3.73%
2018年12月21日,"634,000","453,368","462,500","419,663",18.55K,-5.83%
2018年12月20日,"692,530","413,390","464,794","411,229",24.59K,9.67%
2018年12月19日,"691,824","412,597","441,499","408,328",18.33K,0.19%
2018年12月18日,"714,987","394,427","414,000","385,568",10.36K,4.59%
2018年12月17日,"735,176","362,693","404,170","361,999",13.89K,8.76%
2018年12月16日,"732,900","360,040","369,836","360,040",3.64K,0.62%
2018年12月15日,"746,176","362,244","365,999","354,350",4.63K,-0.49%
2018年12月14日,"737,468","371,496","373,577","355,800",9.32K,-2.42%
2018年12月13日,"801,357","388,669","389,510","366,720",8.81K,-4.49%
2018年12月12日,"784,414","380,145","394,951","377,310",9.09K,2.24%
2018年12月11日,"803,139","387,445","388,299","374,100",8.32K,-1.88%
2018年12月10日,"793,267","398,070","404,990","384,001",7.96K,-2.67%
2018年12月9日,"747,000","384,099","411,580","381,030",9.66K,3.67%
2018年12月8日,"749,585","381,291","393,000","366,150",11.37K,0.70%
2018年12月7日,"751,793","389,475","398,965","361,927",22.98K,-2.05%
2018年12月6日,"739,407","418,970","433,590","386,630",18.85K,-7.09%
2018年12月5日,"738,259","441,161","442,599","416,350",12.91K,-5.03%
2018年12月4日,"713,824","436,430","455,427","424,506",12.92K,1.08%
2018年12月3日,"768,443","466,750","468,906","430,000",11.83K,-6.48%
2018年12月2日,"757,992","471,031","484,999","459,360",10.99K,-0.93%
2018年12月1日,"781,254","451,690","486,000","444,070",9.86K,4.36%
2018年11月30日,"768,200","482,258","489,050","440,000",18.87K,-6.41%
2018年11月29日,"738,350","480,984","500,861","463,980",17.23K,0.26%
2018年11月28日,"740,881","430,852","495,500","430,117",19.10K,11.83%
2018年11月27日,"770,246","425,000","436,014","408,381",15.27K,1.20%
2018年11月26日,"805,000","445,651","464,800","402,669",21.00K,-4.74%
2018年11月25日,"808,353","426,871","465,622","391,560",25.65K,4.48%
2018年11月24日,"813,203","485,403","495,450","414,216",9.96K,-12.03%
2018年11月23日,"828,532","483,889","492,210","462,737",13.24K,0.40%
2018年11月22日,"836,503","514,505","519,998","480,443",12.49K,-5.82%
2018年11月21日,"829,452","493,334","526,010","478,854",20.77K,4.07%
2018年11月20日,"937,577","535,000","551,888","461,209",29.39K,-7.94%
2018年11月19日,"926,749","628,964","629,670","527,287",22.24K,-14.80%
2018年11月18日,"946,207","623,247","633,000","623,200",3.55K,0.92%
2018年11月17日,"962,121","623,000","627,000","616,490",2.89K,0.03%
2018年11月16日,"952,856","635,263","637,540","611,792",9.78K,-1.92%
2018年11月15日,"949,894","649,343","657,730","592,674",14.85K,-2.17%
2018年11月14日,"962,100","713,000","717,706","601,867",13.08K,-8.98%
2018年11月13日,"973,484","719,645","719,991","711,310",3.48K,-0.87%
2018年11月12日,"1,065,810","722,837","725,900","717,000",2.80K,-0.44%
2018年11月11日,"1,048,000","721,247","724,041","713,001",1.41K,0.22%
2018年11月10日,"1,017,000","720,000","725,410","719,500",1.21K,0.17%
2018年11月9日,"934,350","727,800","728,853","716,555",3.36K,-1.07%
2018年11月8日,"922,489","736,824","738,600","727,000",3.27K,-1.22%
2018年11月7日,"945,875","729,558","742,239","728,988",4.70K,1.00%
2018年11月6日,"997,533","724,217","730,895","721,001",3.09K,0.74%
2018年11月5日,"1,051,000","725,459","728,000","719,111",2.29K,-0.16%
2018年11月4日,"996,901","716,487","728,896","714,356",2.22K,1.24%
2018年11月3日,"1,005,016","717,612","717,941","713,500",0.77K,-0.16%
2018年11月2日,"1,037,658","713,733","718,759","712,296",2.33K,0.54%
2018年11月1日,"1,044,362","711,545","716,000","708,000",2.72K,0.31%
2018年10月31日,"1,053,361","707,883","716,980","701,750",3.64K,0.52%
2018年10月30日,"1,025,000","703,190","710,112","702,140",3.08K,0.67%
2018年10月29日,"977,238","717,000","717,234","693,111",7.10K,-1.93%
2018年10月28日,"988,518","716,700","718,502","713,510",1.20K,0.04%
2018年10月27日,"988,442","716,625","717,951","714,542",0.72K,0.01%
2018年10月26日,"941,327","717,445","722,249","712,106",3.81K,-0.11%
2018年10月25日,"960,276","718,583","721,200","712,885",2.85K,-0.16%
2018年10月24日,"951,651","717,528","725,500","717,130",2.80K,0.15%
2018年10月23日,"992,287","722,260","722,612","714,000",3.60K,-0.66%
2018年10月22日,"1,031,382","721,676","723,752","717,400",2.36K,0.08%
2018年10月21日,"1,016,000","720,741","727,000","719,288",1.36K,0.13%
2018年10月20日,"1,044,453","718,992","723,279","716,206",1.35K,0.24%
2018年10月19日,"1,017,920","718,094","721,697","714,456",3.04K,0.13%
2018年10月18日,"1,096,827","725,895","730,000","710,101",3.76K,-1.07%
2018年10月17日,"1,036,567","726,499","727,949","720,333",3.93K,-0.12%
2018年10月16日,"1,054,000","720,796","729,999","717,313",4.86K,0.82%
2018年10月15日,"1,068,556","695,424","749,998","692,050",13.43K,3.65%
2018年10月14日,"1,055,001","697,003","705,526","692,161",2.26K,-0.23%
2018年10月13日,"1,060,890","696,500","699,500","695,821",1.26K,0.04%
2018年10月12日,"1,068,671","691,827","703,360","687,718",4.71K,0.75%
2018年10月11日,"1,061,999","732,494","732,999","687,719",10.83K,-5.59%
2018年10月10日,"1,055,000","745,697","745,697","728,065",5.88K,-1.77%
2018年10月9日,"1,058,435","747,399","748,171","741,740",3.25K,-0.23%
2018年10月8日,"991,979","747,052","752,400","742,500",3.09K,0.05%
2018年10月7日,"1,019,130","745,978","749,003","740,300",1.82K,0.14%
2018年10月6日,"1,018,635","748,573","749,752","742,111",1.95K,-0.35%
2018年10月5日,"1,002,600","745,550","752,620","741,340",3.73K,0.41%
2018年10月4日,"1,014,726","739,940","754,532","738,250",5.25K,0.76%
2018年10月3日,"1,023,100","737,138","742,585","727,001",4.69K,0.34%
2018年10月2日,"1,012,444","747,527","750,000","734,160",4.42K,-1.38%
2018年10月1日,"1,004,324","750,600","755,886","740,000",5.68K,-0.39%
2018年9月30日,"996,198","747,964","753,360","740,000",3.68K,0.35%
2018年9月29日,"1,001,500","751,915","752,000","733,970",4.42K,-0.53%
2018年9月28日,"993,100","755,162","769,050","741,910",9.45K,-0.43%
2018年9月27日,"1,035,188","728,368","762,455","725,393",8.08K,3.68%
2018年9月26日,"1,024,910","725,817","739,155","719,500",7.44K,0.37%
2018年9月25日,"996,110","741,351","741,351","715,340",9.25K,-2.11%
2018年9月24日,"991,379","752,993","755,240","738,568",4.04K,-1.55%
2018年9月23日,"983,990","754,160","761,300","748,479",2.74K,-0.15%
2018年9月22日,"969,100","757,653","765,971","742,860",5.84K,-0.46%
2018年9月21日,"978,725","727,853","762,180","727,853",10.40K,4.09%
2018年9月20日,"989,867","712,622","733,775","711,721",5.98K,2.15%
2018年9月19日,"987,501","710,599","729,294","689,102",7.54K,0.27%
2018年9月18日,"992,614","698,797","715,678","696,893",4.57K,1.69%
2018年9月17日,"979,088","727,098","730,777","693,500",7.08K,-3.89%
2018年9月16日,"976,000","729,500","730,098","715,779",2.44K,-0.33%
2018年9月15日,"983,699","725,993","733,426","724,047",3.20K,0.49%
2018年9月14日,"977,116","726,603","736,330","716,500",6.07K,-0.15%
2018年9月13日,"1,003,670","703,648","730,000","703,524",6.82K,3.33%
2018年9月12日,"996,689","701,486","705,433","692,100",4.77K,0.31%
2018年9月11日,"1,012,852","701,036","713,150","689,592",6.00K,0.11%
2018年9月10日,"991,400","691,935","704,200","691,935",5.51K,1.27%
2018年9月9日,"993,856","689,333","716,000","685,717",5.45K,0.38%
2018年9月8日,"988,877","711,586","720,000","683,333",5.79K,-3.13%
2018年9月7日,"994,403","718,468","723,126","701,000",7.58K,-0.96%
2018年9月6日,"991,999","743,000","745,320","695,598",14.00K,-3.30%
2018年9月5日,"992,629","818,782","822,415","740,055",11.23K,-9.26%
2018年9月4日,"984,953","805,835","823,820","803,302",5.86K,1.61%
2018年9月3日,"981,001","809,923","812,117","797,206",5.67K,-0.51%
2018年9月2日,"981,400","798,680","813,000","790,513",7.44K,1.42%
2018年9月1日,"983,008","777,001","805,068","777,000",5.04K,2.75%
2018年8月31日,"987,320","776,904","784,728","763,000",8.46K,0.12%
2018年8月30日,"983,258","783,656","786,063","754,477",7.61K,-0.95%
2018年8月29日,"1,003,851","786,782","790,663","772,830",6.82K,-0.40%
2018年8月28日,"1,021,745","765,480","792,700","762,000",8.12K,2.78%
2018年8月27日,"1,027,000","745,572","765,780","739,000",6.24K,2.66%
2018年8月26日,"1,014,790","747,348","750,932","730,000",4.48K,-0.22%
2018年8月25日,"1,030,800","743,130","756,934","738,585",5.69K,0.57%
2018年8月24日,"1,052,800","725,049","747,000","719,862",6.98K,2.49%
2018年8月23日,"1,161,005","704,079","729,970","702,308",6.45K,2.99%
2018年8月22日,"1,148,483","714,082","755,987","691,836",14.25K,-1.41%
2018年8月21日,"1,167,267","691,460","718,500","689,594",7.23K,3.25%
2018年8月20日,"1,162,795","716,759","720,500","689,272",7.10K,-3.51%
2018年8月19日,"1,201,369","709,588","724,000","700,555",4.12K,1.09%
